date,open,high,low,close,volume
2017-01-03,0.0,0.0,0.0,0.0012,0
2017-01-04,0.0,0.0,0.0,0.0012,0
2017-01-05,0.0,0.0,0.0,0.0012,0
2017-01-06,0.0,0.0,0.0,0.0012,0
2017-01-09,0.0,0.0,0.0,0.0012,0
2017-01-10,0.0,0.0,0.0,0.0013,0
2017-01-11,0.0,0.0,0.0,0.0012,0
2017-01-12,0.0,0.0,0.0,0.0012,0
2017-01-13,0.0,0.0,0.0,0.0012,0
2017-01-17,0.0,0.0,0.0,0.0012,0
2017-01-18,0.0,0.0,0.0,0.0012,0
2017-01-19,0.002,0.002,0.002,0.002,103284
2017-01-20,0.0,0.0,0.0,0.002,0
2017-01-23,0.0,0.0,0.0,0.002,0
2017-01-24,0.0,0.0,0.0,0.002,0
2017-01-25,0.0,0.0,0.0,0.002,0
2017-01-26,0.0,0.0,0.0,0.002,0
2017-01-27,0.0,0.0,0.0,0.002,0
2017-01-30,0.0,0.0,0.0,0.002,0
2017-01-31,0.0,0.0,0.0,0.002,0
2017-02-01,0.002,0.002,0.002,0.002,101
2017-02-02,0.0,0.0,0.0,0.002,0
2017-02-03,0.0,0.0,0.0,0.002,0
2017-02-06,0.0,0.0,0.0,0.002,0
2017-02-07,0.003,0.003,0.003,0.003,1001
2017-02-08,0.0,0.0,0.0,0.003,0
2017-02-09,0.0,0.0,0.0,0.003,0
2017-02-10,0.0,0.0,0.0,0.003,0
2017-02-13,0.0019,0.002,0.0019,0.0019,204
2017-02-14,0.0,0.0,0.0,0.002,0
2017-02-15,0.0,0.0,0.0,0.0019,0
2017-02-16,0.0,0.0,0.0,0.002,0
2017-02-17,0.0,0.0,0.0,0.002,0
2017-02-21,0.0,0.0,0.0,0.002,0
2017-02-22,0.002,0.002,0.002,0.002,7141
2017-02-23,0.0,0.0,0.0,0.002,0
2017-02-24,0.0,0.0,0.0,0.002,0
2017-02-27,0.0,0.0,0.0,0.002,0
2017-02-28,0.0,0.0,0.0,0.002,0
2017-03-01,0.0,0.0,0.0,0.002,0
2017-03-02,0.0,0.0,0.0,0.002,0
2017-03-03,0.0,0.0,0.0,0.002,0
2017-03-06,0.0,0.0,0.0,0.002,0
2017-03-07,0.0,0.0,0.0,0.002,0
2017-03-08,0.0,0.0,0.0,0.002,0
2017-03-09,0.0,0.0,0.0,0.002,0
2017-03-10,0.0,0.0,0.0,0.002,0
2017-03-13,0.0,0.0,0.0,0.002,0
