date,open,high,low,close,volume
2019-05-22,0.0,0.0,0.0,1.08,0
2019-05-23,0.0,0.0,0.0,1.13,0
2019-05-24,0.0,0.0,0.0,1.12,0
2019-05-28,0.0,0.0,0.0,1.08,0
2019-05-29,0.0,0.0,0.0,1.13,0
2019-05-30,0.0,0.0,0.0,1.11,0
2019-05-31,0.0,0.0,0.0,1.13,0
2019-06-03,0.0,0.0,0.0,1.08,0
2019-06-04,0.0,0.0,0.0,1.12,0
2019-06-05,0.0,0.0,0.0,1.09,0
2019-06-06,0.0,0.0,0.0,1.11,0
2019-06-07,0.0,0.0,0.0,1.13,0
2019-06-10,0.0,0.0,0.0,1.08,0
2019-06-11,0.0,0.0,0.0,1.09,0
2019-06-12,0.0,0.0,0.0,1.11,0
2019-06-13,0.0,0.0,0.0,1.12,0
2019-06-14,0.0,0.0,0.0,1.08,0
2019-06-17,0.0,0.0,0.0,1.12,0
2019-06-18,0.0,0.0,0.0,1.08,0
2019-06-19,0.0,0.0,0.0,1.09,0
2019-06-20,0.0,0.0,0.0,1.09,0
2019-06-21,0.0,0.0,0.0,1.08,0
2019-06-24,0.0,0.0,0.0,1.1,0
2019-06-25,0.0,0.0,0.0,1.13,0
2019-06-26,0.0,0.0,0.0,1.1,0
2019-06-27,0.0,0.0,0.0,1.12,0
2019-06-28,0.0,0.0,0.0,1.13,0
