date,open,high,low,close,volume
2017-01-03,0.0,0.0,0.0,0.008,0
2017-01-04,0.0,0.0,0.0,0.008,0
2017-01-05,0.0,0.0,0.0,0.008,0
2017-01-06,0.0,0.0,0.0,0.008,0
2017-01-09,0.0,0.0,0.0,0.008,0
2017-01-10,0.0,0.0,0.0,0.008,0
2017-01-11,0.0,0.0,0.0,0.008,0
2017-01-12,0.0,0.0,0.0,0.008,0
2017-01-13,0.0,0.0,0.0,0.008,0
2017-01-17,0.0,0.0,0.0,0.008,0
2017-01-18,0.0,0.0,0.0,0.008,0
2017-01-19,0.0,0.0,0.0,0.008,0
2017-01-20,0.0,0.0,0.0,0.008,0
2017-01-23,0.0,0.0,0.0,0.008,0
2017-01-24,0.0,0.0,0.0,0.008,0
2017-01-25,0.0,0.0,0.0,0.008,0
2017-01-26,0.0,0.0,0.0,0.008,0
2017-01-27,0.0,0.0,0.0,0.008,0
2017-03-17,0.008,0.008,0.008,0.008,429
2017-03-20,0.0,0.0,0.0,0.008,0
2017-03-21,0.0,0.0,0.0,0.008,0
2017-03-22,0.0,0.0,0.0,0.008,0
2017-03-23,0.0,0.0,0.0,0.008,0
2017-03-24,0.0,0.0,0.0,0.008,0
2017-03-27,0.0,0.0,0.0,0.008,0
2017-03-28,0.0,0.0,0.0,0.008,0
2017-03-29,0.0,0.0,0.0,0.008,0
2017-03-30,0.0,0.0,0.0,0.008,0
2017-03-31,0.0,0.0,0.0,0.008,0
2017-04-03,0.0,0.0,0.0,0.008,0
2017-04-04,0.0,0.0,0.0,0.008,0
2017-04-05,0.0,0.0,0.0,0.008,0
2017-04-06,0.0,0.0,0.0,0.008,0
2017-04-07,0.0,0.0,0.0,0.008,0
2017-04-10,0.0,0.0,0.0,0.008,0
2017-04-11,0.0,0.0,0.0,0.008,0
2017-04-12,0.0,0.0,0.0,0.008,0
2017-04-13,0.0,0.0,0.0,0.008,0
2017-04-17,0.0,0.0,0.0,0.008,0
2017-04-18,0.0,0.0,0.0,0.008,0
2017-04-19,0.0,0.0,0.0,0.008,0
2017-04-20,0.0,0.0,0.0,0.008,0
2017-04-21,0.0,0.0,0.0,0.008,0
2017-04-24,0.0,0.0,0.0,0.008,0
2017-04-25,0.0,0.0,0.0,0.008,0
2017-04-26,0.0,0.0,0.0,0.008,0
2017-04-27,0.0,0.0,0.0,0.008,0
2017-04-28,0.0,0.0,0.0,0.008,0
2017-05-01,0.0,0.0,0.0,0.008,0
2017-06-12,0.008,0.008,0.008,0.008,10044
2017-06-13,0.0,0.0,0.0,0.008,0
2017-06-14,0.0,0.0,0.0,0.008,0
2017-06-15,0.0,0.0,0.0,0.008,0
2017-06-16,0.0,0.0,0.0,0.008,0
2017-06-19,0.0,0.0,0.0,0.008,0
2017-06-20,0.0,0.0,0.0,0.008,0
2017-06-21,0.0,0.0,0.0,0.008,0
2017-06-22,0.0,0.0,0.0,0.008,0
2017-06-23,0.0,0.0,0.0,0.008,0
2017-06-26,0.0,0.0,0.0,0.008,0
2017-06-27,0.0,0.0,0.0,0.008,0
2017-06-28,0.0,0.0,0.0,0.008,0
2017-06-29,0.0,0.0,0.0,0.008,0
2017-06-30,0.0,0.0,0.0,0.008,0
2017-07-03,0.0,0.0,0.0,0.008,0
2017-07-05,0.0,0.0,0.0,0.008,0
2017-07-06,0.0,0.0,0.0,0.008,0
2017-07-07,0.0,0.0,0.0,0.008,0
2017-07-10,0.0,0.0,0.0,0.008,0
2017-07-11,0.0,0.0,0.0,0.008,0
2017-07-12,0.005,0.005,0.005,0.005,2543
2017-07-13,0.0,0.0,0.0,0.005,0
2017-07-14,0.0,0.0,0.0,0.005,0
2017-07-17,0.0,0.0,0.0,0.005,0
2017-07-18,0.0,0.0,0.0,0.005,0
2017-07-19,0.0,0.0,0.0,0.005,0
2017-07-20,0.0,0.0,0.0,0.005,0
